Classification,Module,Agreed Pilot Scope,Current Platform Functionality,Alignment Status,Notes / Clarifications,Pal's notes
Must-Have,Registration,"Lightweight registration including contact details, location and language preference",Guardian profile page,Done,Done,
Must-Have,Authentication,Email-based authentication,6 dig-code authentication Flow,"Done: Currently, users can create their own password during account creation. Supabase treats clicking the email sent to email as a true validation mechanism. We will implement the OTP verification when we move to mobile number-based authentication, and we will require 3rd party integration with service providers like Twilio or AWS-SNS.",Done,
Must-Have,Guardians Narrative Space,"Initiative story, orientation and curated content",Challenge and Circle Description,TODO: We will integrate this as soon as we are done with core. The engineering team would like to inform the business that this is a quick win and can be done as soon as we request content from the business and screen designs. ,There's an space to add description of the Challenge and the Circle,
Must-Have,Circle Profiles,"Public-facing profile including name, location, description and lifecycle status",Circle Profile,Done,Done,
Must-Have,Circle Membership,Member listing and role labels,Circle Profile and Challenge View,"Done: Currently, the user can see the circle members as they join the circle",In the circle and challenge pages we are able to see the members,
Must-Have,Circle Communication,Simple internal communication mechanism,Not expected in the pilot,"TODO: In-App chats. This will require scope definition, tech discussion and UI designs ",We decided to let Challenge and Circle to have an external communication Channel,
Must-Have,Challenge Library,Structured challenge repository,Challenge-template schema,Done: All Challenges are linked to a specific template upon challenge creation,"The challenge-template schemma can receive dinamic fields, metrics and impact calculation to be executed, and be available in the library","Earlier there was some discussion about the fact that, while there would not be a dedicated UI for creating Challenge Templates, there might be a structured schema that could serve as a template format. The idea, as I understood it, was that once a Challenge was entered into that schema, the application could use programmed logic to automatically generate the corresponding Challenge Template displayed within the platform.

Am I right in thinking that this idea has now been dropped from the roadmap?"
Must-Have,Challenge Adoption,Circles able to adopt challenges,Challenge Creation,Done: All Challenges are linked to a specific circle upon challenge creation,Challenges can be Started and supported by Circles,
Must-Have,Challenge Metrics,Preset metrics attached to challenges,Challenge (schema),Done: Challenge Matrics are computed upon submission and stored in an impact record.,"The challenge schemma can receite dinamic fields, metrics and impact calculation to be executed, however it does not have an UI for now.","Please elaborate this funcitonality, espcially its UI need"
Must-Have,Impact Translation Factors,Metric-to-impact conversion framework,Challenge (schema),"Done: Currently, we have implemented the impact translation for Greening and Composting. Working on integrating the other formulas as we move along the provided challenge library.","The challenge schemma can receite dinamic fields, metrics and impact calculation to be executed, however it does not have an UI for now.",
Must-Have,Challenge Reflections,Shared reflections and learning from completed challenges,Not expected in the pilot,"TODO: This will require scope definition, and form questions & designs. ",,
Must-Have,Challenge Submission,New challenge submission pathway,Challenge-template schema,In Progress,"However we don't have a UI for creating a new template, the schemas can be used to import submmit new challenges using an Rest API",
Must-Have,Validation Level 1,Self-declared reporting,Not previewed in the pilot,"API-Done & FE In progress: Upon evidence submission, the platform auto-tags the submission as confirmed and auto-computes all necessary metrics.",We will allow only facilitators to report evidences,
Must-Have,Validation Level 2,Evidence-based reporting and review,Not expected in the pilot,TODO,We will allow only facilitators to report evidences,
Must-Have,Validation Level 3,Peer-reviewed reporting,Not expected in the pilot,TODO,We will allow only facilitators to report evidences,
Must-Have,Impact Record,Central validated reporting structure,Evidence Log Structure (Schema),Done: All evidence submissions are stored and time-stamped.,"We do not provide a Central now because we don't have a approval system, but the Evidence / Contribution logs are stored",
Must-Have,Guardian Progress View,Individual progress view,Guardian Profile's Dashboard,Done,We'll show the impact agregated by the guardian,
Must-Have,Circle Progress View,Circle-level progress view,Circle Profile's Page,Done,"We'll show the impact agregated by Circles, Challenges they support",
Must-Have,City Progress View,City or regional progress aggregation,Not expected in the pilot,TODO,"Infrastruture to receive is data is there, designs are needed to render relevant views",
Must-Have,Network Progress View,Network-wide impact aggregation,? Not sure what it is,TODO: This sounds more like overall global metrics. The global impact,^,It is actually the global impact!
Must-Have,Contribution Trace,Chronological contribution history,"Challenge, Circle and DashBoard (Guardian)",Done,"We'll display acctivities Log in 3 levels, Circle, Challenge and Individual",
Must-Have,Contribution Markers,Recognition markers generated from contribution history,Not expected in the pilot,In Progress,,
Must-Have,Impact Summary,Impact calculations and summaries,"Circle, Challenge and Dashboard",Done,"We'll display acctivities Log in 3 levels, Circle, Challenge and Individual",
Must-Have,Administration,Administrative and moderation functionality,Not expected in the pilot,TODO,"We agreeded the pilot will start with no moderation, instead we created some permission rules like only Business users create circles and circle leader start challenges, only facilitators submit evidences",
Must-Have,Multilingual Support,Multi-language architecture and support,Yes,In Progress,,
Nice-to-Have,Commons,Shared community learning space,? Not sure what it is,TODO: We will require clarity & scope defition,,
Nice-to-Have,Partner Directory,Partner listings,? Not sure what it is,TODO: We will require clarity & scope definition. It sounds like a central place to list the partners that can be part of the challenge.,All circles can be seen in the Discover session,
